Customer,Total Queries,Avg MB Scanned,Avg Execution Secs,Max Execution Secs
MOFGCBH,60295,44.1182347818227,0.3167299610249606,20.264
AKCOOK,30180,34.46357571265739,0.432937408880053,7.902
MOPREFH,23736,113.08536731290025,1.154563490057297,52.415
MOBHR,19639,114.6470318538113,0.7310993940628342,15.909
MOSBH,19073,29.09957820222304,0.27826162638284485,16.392
GAHORIZONS,17315,47.98382760750794,0.9299369332948311,42.687
GAHLND,15056,283.4010007221706,1.0364091392136026,31.925
CTSCADD,13592,66.01318442694232,0.5741287522071807,29.556
MLSTN,11813,119.33246521230848,0.9197625497333447,56.022
MNHWEHS,11007,101.64031487308075,0.8770395203052603,12.88
LIFECARE,10067,108.25290954117412,0.8046807390483758,23.497
KYLIFSK,8373,101.48506161650543,0.6805705243043115,12.783
OHFAMCC,7826,74.34595612854586,0.7665514950166114,47.351
OHBLHBS,7709,179.6241701141523,2.0269641976910107,85.524
MIHLYCS,7129,11.877751961986252,0.20365591247019219,4.525
OHUMC,6804,61.333328290417406,0.7202576425631981,15.735
IALUTSV,6197,59.97279043537195,0.47675714055187995,18.714
ILAUNTM,6032,81.62800913129973,0.6121112400530504,12.92
BHNINC,5977,387.6176373192237,4.601125982934582,158.763
OAKLAWN,5621,230.0811719469845,2.2318473581213305,446.023
ALNAMHC,5357,59.175585122829936,1.0060192271793915,42.378
DEMO2,5221,2381.4540805860947,11.163563493583604,481.852
CASCHARP,5172,43.008545825986076,0.7416378576952823,20.433
ALSPECT,4644,105.40826339405685,1.272780361757106,67.844
MDJWSCS,4631,58.39508968019866,0.5820902612826603,11.577
OHMODPW,4537,61.797877022702224,0.8419806039232973,27.566
OHCBHTH,4515,55.48975935083057,2.382659800664452,2656.837
CAMCC,4342,37.20268641133118,0.557723859972363,7.001
CBIC,4332,35.249321946214216,0.5208289473684211,6.205
MAUMSMH,4278,102.08296002080411,1.8220366993922392,169.118
TNHEALTHCONNECT,3996,138.81427175325325,1.649957957957958,61.187
OHTALBT,3864,110.75194257763974,1.41935533126294,115.742
WACRMHS,3856,42.34402491052905,0.7331623443983403,15.126
LABCMHOLD,3797,46.36349866473532,0.4380890176455096,5.269
OHRFSCF,3778,92.42552331206988,1.0906056114346214,16.876
AKASSETS,3308,31.051758913845227,0.5706701934703748,7.369
NYIBDCC,3291,390.84324478030993,1.7334755393497419,58.094
ORBRCHG,3265,21.93167490995406,0.45060796324655433,4.263
VTARISS,3255,79.7723786780338,1.1235917050691244,22.509
LAAAHSD,3245,55.74773736795069,0.6836927580893682,14.481
ORSLNMH,3241,54.142130328602285,0.6825800678802839,12.026
OHDAYBK,3182,65.57413800534255,0.6554204902576994,11.341
CMBRLD,2935,63.73494052879046,0.6993948892674617,9.611
TVC,2849,31.404540510354508,0.4356918216918217,4.409
SCBHS,2785,290.7042340193896,1.8164545780969479,24.103
PASTRAW,2770,184.20882237870035,1.0272815884476534,13.503
AROBHAW,2688,36.82903969345238,0.5575751488095237,12.995
AKTANANA,2608,23.19436637231595,0.536607745398773,7.495
PAPYRMD,2596,239.0087422738829,2.745517719568567,226.065
MOARCOA,2594,25.284784850424057,0.5629969159599075,8.116
NJTCFGE,2591,54.62949888923196,0.5965650328058665,25.281
KYSELFR,2413,214.76595258599255,2.319322420223788,19.965
KSCKMHC,2412,54.90989876119403,0.7046455223880597,12.406
HVMHC,2405,189.87718264948023,1.1869305613305614,14.329
INDCTR,2352,38.19382274319728,0.4966930272108843,7.012
TRLGY,2343,114.65916454801538,1.9805441741357235,66.918
AKAKELA,2340,37.613698815811965,0.6862418803418804,16.902
SCCTC,2212,53.87005052124774,0.8337622061482821,20.815
NJCBH,2092,69.96438444311663,0.508881931166348,13.022
GAIT,2090,305.98185770765554,2.065377990430622,44.487
AKFBNAT,2029,15.28135056185313,0.5075554460325283,18.542
CCMHR,1996,117.88583534018036,0.9233206412825652,9.956
KYCHONK,1969,43.56222754900965,0.7800477399695277,9.06
MERIDIAN,1962,124.81288447196738,2.721553516819572,72.467
WAEXSYC,1931,82.04163097721388,0.6602465044018643,5.005
OHCCBH,1900,52.17162299631578,0.5968031578947368,14.571
ISAOH,1869,160.76598208667735,2.6152054574638846,74.446
PAKEYSN,1867,248.69442614729513,1.370550080342796,28.727
ILOMNIY,1798,46.21635480367074,0.5560734149054505,9.86
WACCDOY,1761,4.991151260647359,0.26074162407722884,4.599
TXEPCGC,1722,95.93419917653891,0.8142299651567945,8.046
TRLDL,1683,22.226093004753416,0.5607254901960784,7.668
MOREDIS,1599,106.67477043589744,1.625142589118199,95.765
COJFSVC,1499,48.77299908405604,0.5984856571047364,9.937
PTHWY,1486,344.87378554508746,1.6544017496635262,73.108
MSCANPY,1478,69.11426629364006,0.8348031123139377,9.794
GAPINES,1475,101.15593742305086,1.5169606779661016,25.884
LACAHSD,1464,65.4348099795082,1.3500075136612022,110.292
NYBPCRI,1446,66.13329153941909,0.9438347164591978,13.8
OCSDS,1428,104.89011932913165,2.2870966386554623,44.56
COMHBHI,1412,58.77749137393767,0.7082287535410765,9.061
AKCCI,1368,23.79426658991228,0.6655643274853801,6.857
DEMO5,1346,86.4958507295691,1.0974717682020803,9.904
CABOYR,1342,28.09326067138599,0.4396080476900149,6.301
CAEXODUS,1258,14.53605823290938,0.4555055643879173,4.696
OROCP,1241,64.84201512087027,0.5905721192586624,7.614
NYSTDOM,1235,58.991808277732794,0.8018056680161944,7.538
ORNHSOH,1225,176.72729920163266,1.1699355102040816,17.449
MAYOUIN,1221,64.19714773710074,0.6651212121212121,8.424
MACRJ,1200,61.238347696666665,0.6351491666666667,8.544
PACFF,1182,54.477639889170895,0.5708282571912014,5.282
SWANS,1159,81.60836313287317,1.1911932700603969,17.281
