Customer,Total Queries (July),Total Queries (Aug) Adjusted,Total Queries (Aug),Avg MB Scanned (Aug),Avg Execution Secs (Aug),Max Execution Secs (Aug),Query Growth %,Significant Growth,Usage Category,Growth Category
AAMHC,-,5.961538461538462,5,0.0,1.2188,6.055,-,No,No Usage,New Customer
AKACHMS,-,5.961538461538462,5,0.0,1.5524,7.737,-,No,No Usage,New Customer
AKAKELA,2340.0,2823.384615384616,2368,42.15322498986486,0.6139565033783784,8.609,20.65746219592375,No,High Usage,Low Growth
AKASSETS,3308.0,2192.653846153846,1839,34.83266503643284,0.6305508428493747,8.416,-33.716631011068735,Yes,Medium Usage,Negative Growth
AKCCI,1368.0,598.5384615384615,502,17.564128107569722,0.6247828685258965,6.449,-56.24718848403059,Yes,Low Usage,Negative Growth
AKCHLDF,58.0,95.3846153846154,80,38.2989194125,0.7884125,4.275,64.45623342175067,No,Very Low Usage,Stable
AKCOOK,30180.0,20928.57692307693,17553,20.996955805674244,0.3702540306500314,6.312,-30.65415201101085,Yes,Extremely High Usage,Negative Growth
AKCS,-,5.961538461538462,5,0.0,0.8886,4.416,-,No,No Usage,New Customer
AKDENALI,549.0,466.1923076923077,391,19.286753283887467,0.4273452685421995,15.95,-15.08336836205689,No,Low Usage,Negative Growth
AKFBNAT,2029.0,1743.1538461538462,1462,18.91222847400821,0.6635095759233927,27.332,-14.088031239337301,No,Medium Usage,Stable
AKJAM,221.0,83.46153846153847,70,32.0207177,0.7327,4.544,-62.23459798120432,Yes,Very Low Usage,Stable
AKJUYSI,-,5.961538461538462,5,0.0,0.8666,4.293,-,No,No Usage,New Customer
AKKANA,-,5.961538461538462,5,0.0,1.3372,6.661,-,No,No Usage,New Customer
AKS,-,5.961538461538462,5,0.0,1.0506,5.213,-,No,No Usage,New Customer
AKSEAVW,-,5.961538461538462,5,0.0,0.1656,0.802,-,No,No Usage,New Customer
AKSPBHS,-,5.961538461538462,5,0.0,1.731,8.63,-,No,No Usage,New Customer
AKTANANA,2608.0,3361.1153846153843,2819,22.680178953884354,0.4377286271727563,7.792,28.877123643227925,No,High Usage,Medium Growth
AKVOLAM,932.0,912.1153846153846,765,27.13991351372549,0.5641816993464052,4.291,-2.133542423241991,No,Low Usage,Stable
AKXPIOH,1118.0,2310.692307692308,1938,48.959953947884415,0.6009422084623323,7.353,106.68088619788082,Yes,Medium Usage,High Growth
ALBRIGE,60.0,191.96153846153848,161,15.950573279503104,0.6261055900621117,7.785,219.93589743589746,Yes,Very Low Usage,High Growth
ALCAHBA,-,5.961538461538462,5,0.0,0.2582,1.264,-,No,No Usage,New Customer
ALEAMHC,-,5.961538461538462,5,0.0,0.1318,0.631,-,No,No Usage,New Customer
ALECMHC,-,13.115384615384617,11,0.0,2.0611818181818182,14.728,-,No,No Usage,New Customer
ALHIGHS,-,5.961538461538462,5,0.0,1.3878,6.911,-,No,No Usage,New Customer
ALMAMHA,174.0,11.923076923076923,10,0.0,1.2478,7.996,-93.14765694076038,Yes,No Usage,Stable
ALMHBCS,1030.0,1316.3076923076922,1104,24.98619705706521,0.4188668478260869,6.257,27.796863330843895,No,Medium Usage,Medium Growth
ALNAMHC,5357.0,3177.5,2665,64.3104149227017,0.817266416510319,27.6,-40.68508493559828,Yes,High Usage,Negative Growth
ALSPECT,4644.0,6118.923076923077,5132,101.32053780670304,0.9072716289945442,35.58,31.75975617836083,Yes,High Usage,Medium Growth
ALSWAMH,1049.0,1265.0384615384614,1061,38.07111235532517,0.6259802073515551,9.749,20.594705580406238,No,Low Usage,Low Growth
ALVOASE,38.0,5.961538461538462,5,0.0,1.4594,7.269,-84.31174089068826,No,No Usage,Stable
ARCHTEMP,-,5.961538461538462,5,0.0,0.0409999999999999,0.173,-,No,No Usage,New Customer
AROBHAW,2688.0,2394.153846153846,2008,27.63955095318725,0.5389656374501992,10.121,-10.931776556776555,No,Medium Usage,Stable
ARTSVC,-,5.961538461538462,5,0.0,0.0573999999999999,0.251,-,No,No Usage,New Customer
ASFCF,-,5.961538461538462,5,0.0,2.9878,14.904,-,No,No Usage,New Customer
AUTOMATION,-,5.961538461538462,5,0.0,0.629,3.1,-,No,No Usage,New Customer
AZFAMSA,-,5.961538461538462,5,0.0,0.8071999999999999,4.011,-,No,No Usage,New Customer
BGVLG,1011.0,558.0,468,36.829136974358974,0.4501239316239316,5.16,-44.80712166172107,Yes,Low Usage,Negative Growth
BHNINC,5977.0,3869.038461538461,3245,413.9158728289676,5.282310015408321,219.001,-35.26788587019472,Yes,High Usage,Negative Growth
CABOYR,1342.0,697.5,585,21.09243726153846,0.4114307692307692,7.001,-48.02533532041729,Yes,Low Usage,Negative Growth
CACMMHC,613.0,7017.923076923077,5886,42.35891154825008,0.5417653754672104,6.362,1044.8487890575982,Yes,High Usage,High Growth
CAEXODUS,1258.0,6966.653846153846,5843,27.921319523703573,0.4863720691425637,6.734,453.78806408218173,Yes,Very High Usage,High Growth
CAGHMHC,25.0,5.961538461538462,5,0.0,0.4634,2.293,-76.15384615384616,No,No Usage,Stable
CAHILLS,-,11.923076923076923,10,0.0,0.3338,1.787,-,No,No Usage,New Customer
CAMASADA,527.0,1272.1923076923078,1067,21.686796856607312,0.5020196813495782,5.642,141.40271493212674,Yes,Medium Usage,High Growth
CAMCC,4342.0,3531.6153846153843,2962,35.38302196151249,0.7074226873733963,17.478,-18.663855720511645,No,High Usage,Negative Growth
CAMHALA,1002.0,1313.923076923077,1102,34.16462554718693,0.5298847549909256,7.783,31.130047597113464,Yes,Medium Usage,Medium Growth
CAREY,20.0,20.26923076923077,17,12.29324505882353,0.8762352941176471,6.285,1.3461538461538503,No,No Usage,Stable
CASCHARP,5172.0,2446.6153846153843,2052,35.49593828362573,0.679175925925926,11.424,-52.6949848295556,Yes,Medium Usage,Negative Growth
CATVFSI,802.0,113.26923076923076,95,28.780999536842103,0.5993999999999999,5.464,-85.87665451755228,Yes,Very Low Usage,Negative Growth
CBIC,4332.0,6846.230769230769,5742,29.715436274642983,0.39108934169279,8.004,58.03856808011931,Yes,Very High Usage,High Growth
CCHIT,-,5.961538461538462,5,0.0,1.7136,8.544,-,No,No Usage,New Customer
CCMHR,1996.0,1678.7692307692307,1408,104.69777366832386,0.8585838068181818,10.558,-15.893325111761989,No,Medium Usage,Negative Growth
CFLFCI,-,5.961538461538462,5,0.0,0.9494,4.713,-,No,No Usage,New Customer
CGCMF,24.0,29.80769230769231,25,9.11623392,0.7049599999999999,8.273,24.19871794871796,No,No Usage,Stable
CHRYSALIS,263.0,101.34615384615384,85,16.06312951764706,0.4615411764705882,6.267,-61.46534074290728,Yes,Very Low Usage,Negative Growth
CLTSP,371.0,190.7692307692308,160,29.951273500000003,0.6575124999999999,6.792,-48.579722164627825,Yes,Very Low Usage,Negative Growth
CMBRLD,2935.0,2189.076923076923,1836,55.73097069008715,0.6693660130718954,12.098,-25.414755602149135,No,Medium Usage,Negative Growth
CMHAC,-,5.961538461538462,5,0.0,1.6114000000000002,8.031,-,No,No Usage,New Customer
COCONSORTIUM,130.0,295.6923076923077,248,128.5138114314516,5.152697580645161,43.009,127.45562130177515,Yes,Very Low Usage,High Growth
COJFSVC,1499.0,817.9230769230769,686,41.82036569387755,0.6315072886297376,12.186,-45.43541848411762,Yes,Low Usage,Negative Growth
COMHBHI,1412.0,704.6538461538461,591,72.59965288663282,0.7351776649746193,9.044,-50.0953366746568,Yes,Low Usage,Negative Growth
CPLSY,40.0,36.96153846153846,31,200.18878835483872,1.4435483870967742,6.646,-7.596153846153849,No,Very Low Usage,Stable
CPSVC,-,5.961538461538462,5,0.0,0.9966,4.95,-,No,No Usage,New Customer
CRSRD,-,5.961538461538462,5,0.0,0.9384,4.657,-,No,No Usage,New Customer
CTBDGHC,262.0,1195.8846153846157,1003,65.41069308574276,0.6053280159521436,8.759,356.44450968878454,Yes,Medium Usage,High Growth
CTBHCAR,-,44.11538461538462,37,37.298986324324325,0.8640810810810811,8.397,-,No,Very Low Usage,New Customer
CTBRANF,-,5.961538461538462,5,0.0,1.2808,6.376,-,No,No Usage,New Customer
CTCCAOH,254.0,287.34615384615387,241,21.79859882987552,0.6258547717842323,11.039,13.12840702604483,No,Very Low Usage,Stable
CTCCFSN,-,5.961538461538462,5,0.0,0.5896,2.914,-,No,No Usage,New Customer
CTCGCCL,-,1665.6538461538462,1397,17.371481901216892,0.3769799570508231,3.518,-,No,Medium Usage,New Customer
CTCHFST,94.0,41.73076923076923,35,10.172195714285715,0.9421714285714284,9.32,-55.605564648117834,No,Very Low Usage,Stable
CTCJR,945.0,1467.7307692307693,1231,32.43403987164906,0.5024459788789601,4.505,55.31542531542533,Yes,Low Usage,High Growth
CTCTREN,-,94.1923076923077,79,5.924668151898734,0.4246962025316456,6.821,-,No,Very Low Usage,New Customer
CTCWBGC,74.0,155.0,130,11.841941007692308,0.5651230769230768,9.623,109.45945945945945,Yes,Very Low Usage,High Growth
CTJFSGH,-,5.961538461538462,5,0.0,1.0804,5.374,-,No,No Usage,New Customer
CTJFSGNH,24.0,65.57692307692308,55,17.176304872727272,0.4501272727272727,5.737,173.2371794871795,No,No Usage,Stable
CTLNVPCR,-,5.961538461538462,5,0.0,1.4232,7.088,-,No,No Usage,New Customer
CTPERCP,-,5.961538461538462,5,0.0,0.1629999999999999,0.784,-,No,No Usage,New Customer
CTSCADD,13592.0,12361.846153846154,10368,60.49013805844908,0.4923745177469136,14.406,-9.050572735093038,No,Very High Usage,Stable
CTTCFGC,16.0,20.26923076923077,17,14.33074588235294,0.8561176470588235,5.899,26.682692307692314,No,No Usage,Stable
CWOOD,-,5.961538461538462,5,0.0,0.5518,2.73,-,No,No Usage,New Customer
DCCCA,308.0,457.84615384615387,384,72.86993077864584,1.7606041666666667,16.257,48.651348651348655,Yes,Low Usage,Medium Growth
DECNXNS,99.0,162.15384615384616,136,409.4140795735294,3.476779411764706,59.2,63.7917637917638,Yes,Low Usage,High Growth
DECNXNS2,-,5.961538461538462,5,0.0,1.1814,5.877,-,No,No Usage,New Customer
DEMO,636.0,895.4230769230769,751,3.0719466950732355,0.28180292942743,12.375,40.789791969037246,Yes,Low Usage,Medium Growth
DEMO1,-,5.961538461538462,5,0.0,1.269,6.3,-,No,No Usage,New Customer
DEMO11,-,87.03846153846153,73,249.61650253424656,1.8264246575342469,7.858,-,No,Very Low Usage,New Customer
DEMO12,-,5.961538461538462,5,0.0,0.11,0.508,-,No,No Usage,New Customer
DEMO13,136.0,1622.7307692307693,1361,52.9494480764144,0.5838207200587804,8.739,1093.1843891402716,Yes,Medium Usage,High Growth
DEMO15,-,5.961538461538462,5,0.0,1.706,8.503,-,No,No Usage,New Customer
DEMO2,5221.0,7466.230769230769,6262,3457.1828320317786,12.707511338230598,624.731,43.00384541717619,Yes,Very High Usage,Medium Growth
DEMO3,128.0,659.3461538461539,553,25.625021954792043,0.4110307414104883,6.62,415.11418269230774,Yes,Low Usage,High Growth
DEMO4,-,5.961538461538462,5,0.0,0.397,1.956,-,No,No Usage,New Customer
DEMO5,1346.0,1290.076923076923,1082,52.2628084676525,1.1143364140480592,14.453,-4.154760544062177,No,Medium Usage,Stable
DEMO6,379.0,503.1538461538461,422,71.52714739810426,0.9976635071090048,64.926,32.7582707529937,Yes,Low Usage,Medium Growth
DEMO7,-,5.961538461538462,5,0.0,0.9288,4.612,-,No,No Usage,New Customer
DEMOSYS,474.0,318.34615384615387,267,7.118413471910112,0.2501123595505618,2.633,-32.83836416747808,Yes,Very Low Usage,Negative Growth
DEMOSYS_CRED,-,5.961538461538462,5,0.0,1.064,5.293,-,No,No Usage,New Customer
