Customer,Name,Hour,Queries,Total Runtime,Average Runtime
INDCTR,INDCTR_Writer,13,1477,2371.137,5.132331168831169
INDCTR,INDCTR_Writer,11,530,2301.0528,4.341609056603773
INDCTR,INDCTR_Writer,17,314,604.0756,1.9238076433121019
INDCTR,INDCTR_Viewer,15,40,198.1882,4.954705
INDCTR,INDCTR_Writer,15,23,103.6286,4.505591304347826
OCSDS,OCSDS_Writer,15,170,2721.9848,18.772308965517244
OCSDS,OCSDS_Viewer,17,93,2676.8579,37.70222394366197
OCSDS,OCSDS_Viewer,19,77,2161.6739,28.822318666666664
OCSDS,OCSDS_Viewer,18,178,1414.0698,11.49650243902439
OCSDS,OCSDS_Writer,16,210,1217.1708,6.955261714285715
CAMCC,CAMCC_Writer,18,1667,5924.7552,6.002791489361702
CAMCC,CAMCC_Writer,13,192,1409.8492,9.154864935064936
CAMCC,CAMCC_Viewer,15,533,1050.2135,2.9835610795454546
CAMCC,CAMCC_Writer,15,260,1023.8127,5.043412315270936
CAMCC,CAMCC_Viewer,14,724,869.8605,2.338334677419355
NJSTRES,NJSTRES_Viewer,16,110,502.4388,5.075139393939394
NJSTRES,NJSTRES_Viewer,22,72,475.9309,7.932181666666667
NJSTRES,NJSTRES_Writer,21,69,321.3847,5.843358181818182
NJSTRES,NJSTRES_Writer,20,20,263.1098,13.15549
NJSTRES,NJSTRES_Viewer,20,30,204.8653,6.828843333333333
TNHEALTHCONNECT,TNHEALTHCONNECT_Viewer,18,522,5315.2235,12.303758101851852
TNHEALTHCONNECT,TNHEALTHCONNECT_Viewer,20,933,4909.9749,6.994266239316239
TNHEALTHCONNECT,TNHEALTHCONNECT_Viewer,14,449,4222.8599,11.142110554089712
TNHEALTHCONNECT,TNHEALTHCONNECT_Viewer,15,649,4100.2751,7.231525749559083
TNHEALTHCONNECT,TNHEALTHCONNECT_Viewer,0,181,2872.4283,16.32061534090909
PIN,PIN_Writer,15,1229,5698.495,11.195471512770137
PIN,PIN_Writer,18,216,4989.5229,31.380647169811322
PIN,PIN_Viewer,19,93,4423.1106,55.2888825
PIN,PIN_Writer,13,1277,2593.8562,4.82129405204461
PIN,PIN_Writer,16,454,2160.73,13.095333333333333
ALSPECT,ALSPECT_Writer,15,1821,5646.2345,5.0684331238779174
ALSPECT,ALSPECT_Writer,16,877,2561.3684,4.699758532110091
ALSPECT,ALSPECT_Writer,21,1054,2556.1049,4.2744229096989965
ALSPECT,ALSPECT_Writer,14,702,2282.3357,4.620112753036437
ALSPECT,ALSPECT_Writer,20,619,1713.5797,4.59404745308311
MDJWSCS,MDJWSCS_Writer,16,1686,3476.3812,4.672555376344086
MDJWSCS,MDJWSCS_Writer,14,1368,2958.5307,3.251132637362637
MDJWSCS,MDJWSCS_Writer,15,1125,2616.1518,3.5497310719131616
MDJWSCS,MDJWSCS_Writer,17,1846,2356.0547,3.399790331890332
MDJWSCS,MDJWSCS_Writer,13,724,2065.628,3.7353128390596746
GAAACSB,GAAACSB_Viewer,17,698,2989.1319,4.2824239255014325
GAAACSB,GAAACSB_Viewer,16,427,2279.9879,5.339550117096019
GAAACSB,GAAACSB_Writer,16,75,488.6754,13.207443243243244
GAAACSB,GAAACSB_Writer,21,48,291.4925,7.670855263157895
GAAACSB,GAAACSB_Writer,15,150,287.8791,3.308955172413793
OHSTJOE,OHSTJOE_Viewer,16,213,898.3804,4.361069902912622
OHSTJOE,OHSTJOE_Viewer,22,176,661.7777,4.188466455696203
OHSTJOE,OHSTJOE_Viewer,15,160,585.0629,3.656643125
OHSTJOE,OHSTJOE_Writer,12,134,517.2643,4.04112734375
OHSTJOE,OHSTJOE_Viewer,13,133,395.4405,3.214963414634146
SOUND,SOUND_Viewer,1,176,2560.0011,15.421693373493975
SOUND,SOUND_Writer,19,161,2202.6144,16.56101052631579
SOUND,SOUND_Writer,20,185,1076.7062,7.477126388888889
SOUND,SOUND_Writer,16,137,687.1612,5.41071811023622
SOUND,SOUND_Writer,18,59,211.3387,4.143896078431372
DEMO2,DEMO2_Writer,13,921,27249.8856,103.61173231939163
DEMO2,DEMO2_Writer,10,1703,12518.8557,28.712971788990824
DEMO2,DEMO2_Writer,18,394,5282.155,16.610550314465407
DEMO2,DEMO2_Writer,19,803,1200.9025,3.4019900849858353
DEMO2,DEMO2_Writer,21,672,1155.3774,2.9029582914572867
GAHLND,GAHLND_Writer,10,10567,63546.2117,42.335917188540975
GAHLND,GAHLND_Writer,19,909,9404.3763,22.33818598574822
GAHLND,GAHLND_Viewer,21,675,6000.0141,13.129133698030635
GAHLND,GAHLND_Writer,16,2390,5404.446,13.117587378640776
GAHLND,GAHLND_Writer,14,3288,5168.7004,9.279533931777378
MTHFH,MTHFH_Viewer,14,39,1155.7959,29.63579230769231
MTHFH,MTHFH_Writer,16,75,648.0885,14.72928409090909
MTHFH,MTHFH_Writer,13,182,225.1846,5.117831818181818
MTHFH,MTHFH_Viewer,17,41,213.8714,5.216375609756097
MTHFH,MTHFH_Writer,21,52,131.6323,5.265292
MOQOPC,MOQOPC_Writer,21,282,423.8233,2.3415651933701658
MOQOPC,MOQOPC_Writer,20,209,359.0414,2.7407740458015266
MOQOPC,MOQOPC_Writer,18,148,331.28,2.548307692307692
MOQOPC,MOQOPC_Writer,22,295,308.6399,1.6773907608695653
MOQOPC,MOQOPC_Viewer,15,133,298.8593,3.018780808080808
OHCLS,OHCLS_Viewer,18,183,964.9555,5.812984939759036
OHCLS,OHCLS_Viewer,19,198,780.9125,4.820447530864198
OHCLS,OHCLS_Viewer,17,151,637.4934,5.182873170731707
OHCLS,OHCLS_Viewer,16,132,533.3818,4.7623375
OHCLS,OHCLS_Viewer,13,75,478.992,7.257454545454546
IAAHFA,IAAHFA_Writer,19,37,38.7714,2.280670588235294
PAKEYSN,PAKEYSN_Writer,16,381,1508.4547,7.77553969072165
PAKEYSN,PAKEYSN_Writer,12,167,1109.442,11.206484848484848
PAKEYSN,PAKEYSN_Writer,15,185,930.2535,6.692471223021583
PAKEYSN,PAKEYSN_Viewer,17,236,920.8356,5.547202409638555
PAKEYSN,PAKEYSN_Writer,17,264,911.4157,5.120312921348314
OHLYAFS,OHLYAFS_Writer,10,324,1036.6336,5.484833862433862
OHLYAFS,OHLYAFS_Writer,16,202,386.1273,2.5571344370860927
OHLYAFS,OHLYAFS_Writer,17,156,297.5001,2.63274424778761
OHLYAFS,OHLYAFS_Writer,15,103,261.8825,2.785984042553191
OHLYAFS,OHLYAFS_Writer,21,113,233.387,2.244105769230769
MABOSTN,MABOSTN_Viewer,15,105,593.8679,7.069855952380952
MABOSTN,MABOSTN_Viewer,20,65,416.7122,7.441289285714285
MABOSTN,MABOSTN_Viewer,18,78,400.9198,5.727425714285714
MABOSTN,MABOSTN_Writer,16,118,335.7294,3.4258102040816327
MABOSTN,MABOSTN_Viewer,16,40,232.6306,6.461961111111111
NJTCFGE,NJTCFGE_Writer,14,1108,4718.9385,5.386916095890411
NJTCFGE,NJTCFGE_Writer,18,1142,4273.0733,4.883512342857143
NJTCFGE,NJTCFGE_Writer,19,1162,3614.414,3.8990442286947142
NJTCFGE,NJTCFGE_Writer,13,954,3433.1229,4.696474555403556
NJTCFGE,NJTCFGE_Writer,16,917,3067.4525,3.93263141025641
MSCANPY,MSCANPY_Viewer,15,408,1563.2302,4.259482833787466
MSCANPY,MSCANPY_Viewer,21,422,1506.7135,4.679234472049689
MSCANPY,MSCANPY_Viewer,16,353,1277.2183,5.1088732
MSCANPY,MSCANPY_Viewer,20,447,1033.8743,3.492818581081081
MSCANPY,MSCANPY_Viewer,19,607,975.6042,2.482453435114504
CAHILLS,CAHILLS_Writer,19,58,115.2971,2.9563358974358973
MNNHCFS,MNNHCFS_Writer,17,2,7.6377,3.81885
SDLSSSD,SDLSSSD_Viewer,16,206,632.0347,3.274791191709845
SDLSSSD,SDLSSSD_Viewer,15,246,543.8525,2.417122222222222
SDLSSSD,SDLSSSD_Viewer,14,214,534.3774,2.5325943127962085
SDLSSSD,SDLSSSD_Viewer,18,174,360.8556,2.559259574468085
SDLSSSD,SDLSSSD_Viewer,20,117,337.044,2.8807179487179484
UTCPF,UTCPF_Writer,20,105,408.3729,5.671845833333333
UTCPF,UTCPF_Writer,18,7,17.8906,5.963533333333333
UTCPF,UTCPF_Writer,17,2,8.917,4.4585
LACAHSD,LACAHSD_Writer,13,453,1824.851,6.402985964912281
LACAHSD,LACAHSD_Writer,15,499,1602.1047,4.249614588859417
LACAHSD,LACAHSD_Viewer,14,74,1520.7495,22.697753731343283
LACAHSD,LACAHSD_Writer,14,398,1289.4057,4.902683269961977
LACAHSD,LACAHSD_Writer,16,651,1247.3816,3.7914334346504557
MOPREFH,MOPREFH_Viewer,16,3391,13003.7902,4.226126161845953
