Instance No.,Customer Count,Total Usage Value,Customers
1,12,195,"AAMHC, CTJFSGH, IAAHFA, MTWAIN, OHFRSHC, PAJADEW, VBHCS, AKAKELA, GACARING, MARIVCC, NJTCFGE, SCBHS"
2,15,198,"AKACHMS, CTJFSGNH, IAYTHSS, NCOMM, OHFSRVA, PAJFKBH, WACHLDC, AKASSETS, CTCCAOH, FSVCA, LAAAHSD, NJCMMAU, NYSTDOM, PFORP, YTHHM"
3,17,186,"AKCS, CTLNVPCR, ILGPSVC, NJBNNBR, OHGESMV, PANORTC, WACLRKC, AKCCI, CLTSP, CTBHCAR, FMRSH, ILOMNIY, MDJWSCS, OHCRSCN, OHMCKHL, ORXPIOH, SHLTR"
4,17,223,"AKJUYSI, CTPERCP, ILHAS, NJCTS, OHGLCTR, PAUNITY, WACRSIS, AKCHLDF, CASCHARP, GAAACSB, ILPILRS, MACRJ, MNNPMHC, MOQOPC, OHCCBH, OHRFSCF, WACRMHS"
5,14,195,"AKKANA, CTTCFGC, ILHEART, NJFSH, OHJCESC, PAWOODS, WADYTHS, AKCOOK, KYADANT, MAGADRA, MERIDIAN, OHNDI, ORNHSOH, RBMHC"
6,14,206,"AKS, CWOOD, ILHRCTR, NJJFCHS, OHLGRCI, PBH, WAOLYPC, AKDENALI, CCMHR, IAFOUNDATION, KYSELFR, MOBHR, ORSLNMH, WATRITS"
7,16,212,"AKSEAVW, DECNXNS2, ILLSS, NJJFSCN, OHMATHP, PCFCS, WAPOCCS, AKFBNAT, CTCJR, INDCTR, MNHDC, MSCANPY, OHISBHOHIO, OHWOMENS, ORWILLF, WAEXSYC"
8,15,190,"AKSPBHS, DEMOSYS_CRED, ILSAFRF, NJJHI, OHMIDOH, PSYSVC, WAXPIOH, AKJAM, CAMHALA, GBCTR, MASTANN, MOARCOA, OHBLHBS, SWANS, WACCSWW"
9,13,214,"ALCAHBA, DPHMH, ILSOSUB, NJJWFCS, OHMUSBH, PWAYGA, WBRGN, AKTANANA, GAHLND, NJCBH, OHRAVEN, PALARCHE, TNHEALTHCONNECT"
10,16,211,"ALEAMHC, DRENK, ILSRTCN, NJMHC, OHPEPRO, RINEBAS, WMHCTR, AKVOLAM, CMBRLD, IAYHFS, LAVOASL, MOREDIS, OHCCC, OHSTJOE, SDLSSSD, WAACIHS"
